Freq.	V(n004)/V(ampli:n003)	V(n004)/V(ampli:n010)
1.11430472101905e+001	(5.66344892534674e+001dB,-1.79978026506865e+002°)	(5.47095859034229e+001dB,1.79969733838401e+002°)
1.15360059214187e+001	(5.66344892051871e+001dB,-1.79977252692513e+002°)	(5.47095858058385e+001dB,1.79968667450454e+002°)
1.19428222916713e+001	(5.66344891543000e+001dB,-1.79976451550233e+002°)	(5.47095857021029e+001dB,1.79967563426891e+002°)
1.23639850102382e+001	(5.66344890998486e+001dB,-1.79975622117592e+002°)	(5.47095855910164e+001dB,1.79966420441567e+002°)
1.28000000000001e+001	(5.66344890415283e+001dB,-1.79974763398175e+002°)	(5.47095854719978e+001dB,1.79965237121530e+002°)
1.32513910251698e+001	(5.66344889798442e+001dB,-1.79973874360388e+002°)	(5.47095853452485e+001dB,1.79964012045371e+002°)
1.37187003204647e+001	(5.66344889140271e+001dB,-1.79972953936222e+002°)	(5.47095852096976e+001dB,1.79962743741523e+002°)
1.42024892424686e+001	(5.66344888463607e+001dB,-1.79972001019960e+002°)	(5.47095850672889e+001dB,1.79961430686472e+002°)
1.47033389439622e+001	(5.66344887714636e+001dB,-1.79971014466885e+002°)	(5.47095849122954e+001dB,1.79960071302980e+002°)
1.52218510720350e+001	(5.66344886919720e+001dB,-1.79969993091852e+002°)	(5.47095847469533e+001dB,1.79958663958115e+002°)
1.57586484908151e+001	(5.66344886071413e+001dB,-1.79968935667900e+002°)	(5.47095845701202e+001dB,1.79957206961343e+002°)
1.63143760296867e+001	(5.66344885167352e+001dB,-1.79967840924773e+002°)	(5.47095843810989e+001dB,1.79955698562475e+002°)
1.68897012578932e+001	(5.66344884203649e+001dB,-1.79966707547389e+002°)	(5.47095841790403e+001dB,1.79954136949574e+002°)
1.74853152864565e+001	(5.66344883173871e+001dB,-1.79965534174267e+002°)	(5.47095839627845e+001dB,1.79952520246772e+002°)
1.81019335983758e+001	(5.66344882076295e+001dB,-1.79964319395884e+002°)	(5.47095837316184e+001dB,1.79950846512015e+002°)
1.87402969081042e+001	(5.66344880905622e+001dB,-1.79963061752993e+002°)	(5.47095834844288e+001dB,1.79949113734736e+002°)
1.94011720513333e+001	(5.66344879650713e+001dB,-1.79961759734861e+002°)	(5.47095832194783e+001dB,1.79947319833438e+002°)
2.00853529061570e+001	(5.66344878316982e+001dB,-1.79960411777455e+002°)	(5.47095829366294e+001dB,1.79945462653184e+002°)
2.07936613467199e+001	(5.66344876895407e+001dB,-1.79959016261570e+002°)	(5.47095826342763e+001dB,1.79943539963021e+002°)
2.15269482304953e+001	(5.66344875375409e+001dB,-1.79957571510881e+002°)	(5.47095823105611e+001dB,1.79941549453301e+002°)
2.22860944203810e+001	(5.66344873776767e+001dB,-1.79956075789913e+002°)	(5.47095819666622e+001dB,1.79939488732876e+002°)
2.30720118428375e+001	(5.66344872042637e+001dB,-1.79954527302009e+002°)	(5.47095815960155e+001dB,1.79937355326306e+002°)
2.38856445833426e+001	(5.66344870190253e+001dB,-1.79952924187098e+002°)	(5.47095811993918e+001dB,1.79935146670783e+002°)
2.47279700204763e+001	(5.66344868209548e+001dB,-1.79951264519510e+002°)	(5.47095807747553e+001dB,1.79932860113115e+002°)
2.56000000000003e+001	(5.66344866141909e+001dB,-1.79949546305616e+002°)	(5.47095803251463e+001dB,1.79930492906490e+002°)
2.65027820503396e+001	(5.66344863884536e+001dB,-1.79947767481549e+002°)	(5.47095798391563e+001dB,1.79928042207321e+002°)
2.74374006409294e+001	(5.66344861438908e+001dB,-1.79945925910567e+002°)	(5.47095793203679e+001dB,1.79925505071595e+002°)
2.84049784849372e+001	(5.66344858854473e+001dB,-1.79944019380573e+002°)	(5.47095787629739e+001dB,1.79922878451580e+002°)
2.94066778879245e+001	(5.66344856090114e+001dB,-1.79942045601453e+002°)	(5.47095781661264e+001dB,1.79920159191970e+002°)
3.04437021440700e+001	(5.66344853156762e+001dB,-1.79940002202293e+002°)	(5.47095775293651e+001dB,1.79917344026181e+002°)
3.15172969816302e+001	(5.66344849992184e+001dB,-1.79937886728603e+002°)	(5.47095768448476e+001dB,1.79914429572492e+002°)
3.26287520593735e+001	(5.66344846609366e+001dB,-1.79935696639265e+002°)	(5.47095761120841e+001dB,1.79911412329850e+002°)
3.37794025157865e+001	(5.66344843031375e+001dB,-1.79933429303522e+002°)	(5.47095753314757e+001dB,1.79908288673712e+002°)
3.49706305729130e+001	(5.66344839155499e+001dB,-1.79931081997919e+002°)	(5.47095744907412e+001dB,1.79905054851846e+002°)
3.62038671967517e+001	(5.66344835005667e+001dB,-1.79928651902845e+002°)	(5.47095735900986e+001dB,1.79901706979560e+002°)
3.74805938162085e+001	(5.66344830586706e+001dB,-1.79926136099251e+002°)	(5.47095726276692e+001dB,1.79898241035184e+002°)
3.88023441026667e+001	(5.66344825833179e+001dB,-1.79923531565190e+002°)	(5.47095715944372e+001dB,1.79894652855305e+002°)
4.01707058123142e+001	(5.66344820786571e+001dB,-1.79920835172033e+002°)	(5.47095704918329e+001dB,1.79890938129561e+002°)
4.15873226934398e+001	(5.66344815355941e+001dB,-1.79918043680924e+002°)	(5.47095693079219e+001dB,1.79887092395748e+002°)
4.30538964609907e+001	(5.66344809513215e+001dB,-1.79915153738718e+002°)	(5.47095680368132e+001dB,1.79883111034231e+002°)
4.45721888407621e+001	(5.66344803280394e+001dB,-1.79912161873927e+002°)	(5.47095666820956e+001dB,1.79878989262316e+002°)
