time	V(n002)
2.196397697853100e-006	-9.064989e+000
2.203854840710259e-006	-8.920566e+000
2.211311983567418e-006	-8.775996e+000
2.212397697853135e-006	-8.754942e+000
2.213483412138852e-006	-8.733887e+000
2.214569126424569e-006	-8.712830e+000
2.215654840710285e-006	-8.691773e+000
2.216740554996002e-006	-8.670715e+000
2.217826269281718e-006	-8.649656e+000
2.218911983567435e-006	-8.628596e+000
2.219111983567435e-006	-8.624718e+000
2.220140554996009e-006	-8.604764e+000
2.221169126424583e-006	-8.584816e+000
2.222197697853157e-006	-8.564874e+000
2.223226269281730e-006	-8.544938e+000
2.224254840710304e-006	-8.525008e+000
2.225283412138878e-006	-8.505084e+000
2.226311983567451e-006	-8.485167e+000
2.227054840710310e-006	-8.470789e+000
2.227797697853169e-006	-8.456426e+000
2.228540554996028e-006	-8.442079e+000
2.229283412138886e-006	-8.427748e+000
2.230026269281745e-006	-8.413432e+000
2.230769126424604e-006	-8.399132e+000
2.231511983567463e-006	-8.384848e+000
2.232369126424608e-006	-8.368389e+000
2.233226269281752e-006	-8.351991e+000
2.234083412138897e-006	-8.335652e+000
2.234940554996042e-006	-8.319373e+000
2.235797697853187e-006	-8.303154e+000
2.236654840710331e-006	-8.286995e+000
2.237511983567476e-006	-8.270895e+000
2.238111983567477e-006	-8.259687e+000
2.238711983567478e-006	-8.248524e+000
2.239311983567480e-006	-8.237407e+000
2.239911983567481e-006	-8.226336e+000
2.240511983567482e-006	-8.215310e+000
2.241111983567484e-006	-8.204331e+000
2.241711983567485e-006	-8.193397e+000
2.242197697853201e-006	-8.184583e+000
2.242683412138916e-006	-8.175795e+000
2.243169126424631e-006	-8.167035e+000
2.243654840710346e-006	-8.158301e+000
2.244140554996062e-006	-8.149594e+000
2.244626269281777e-006	-8.140913e+000
2.245111983567492e-006	-8.132259e+000
2.245711983567494e-006	-8.121597e+000
2.246311983567495e-006	-8.110967e+000
2.246854840710353e-006	-8.101378e+000
2.247397697853212e-006	-8.091804e+000
2.247940554996070e-006	-8.082246e+000
2.248483412138928e-006	-8.072703e+000
2.249026269281787e-006	-8.063175e+000
2.249569126424645e-006	-8.053663e+000
2.250111983567503e-006	-8.044166e+000
2.250511983567504e-006	-8.037169e+000
2.251597697853221e-006	-8.018223e+000
2.252683412138938e-006	-7.999253e+000
2.253769126424654e-006	-7.980261e+000
2.254854840710371e-006	-7.961245e+000
2.255940554996088e-006	-7.942207e+000
2.257026269281804e-006	-7.923145e+000
2.258111983567521e-006	-7.904059e+000
2.259283412138952e-006	-7.883387e+000
2.260454840710383e-006	-7.862618e+000
2.261626269281814e-006	-7.841754e+000
2.262797697853246e-006	-7.820792e+000
2.263969126424677e-006	-7.799735e+000
2.265140554996108e-006	-7.778582e+000
2.266311983567539e-006	-7.757332e+000
2.267169126424684e-006	-7.741702e+000
2.268026269281828e-006	-7.726008e+000
2.268883412138973e-006	-7.710251e+000
2.269740554996118e-006	-7.694430e+000
2.270597697853263e-006	-7.678545e+000
2.271454840710407e-006	-7.662596e+000
2.272311983567552e-006	-7.646583e+000
2.273111983567554e-006	-7.631578e+000
2.273911983567556e-006	-7.616517e+000
2.274711983567557e-006	-7.601401e+000
2.275511983567559e-006	-7.586229e+000
2.276311983567561e-006	-7.571003e+000
2.277111983567563e-006	-7.555720e+000
2.277911983567564e-006	-7.540383e+000
2.278911983567567e-006	-7.521138e+000
2.279111983567567e-006	-7.517280e+000
2.279711983567568e-006	-7.505684e+000
2.280311983567570e-006	-7.494060e+000
2.281426269281858e-006	-7.472388e+000
2.282540554996146e-006	-7.450629e+000
2.283654840710434e-006	-7.428785e+000
2.284769126424722e-006	-7.406854e+000
2.285883412139010e-006	-7.384838e+000
2.286997697853299e-006	-7.362735e+000
2.288111983567587e-006	-7.340546e+000
2.289911983567591e-006	-7.304518e+000
2.291711983567595e-006	-7.268365e+000
2.293511983567599e-006	-7.232086e+000
2.295311983567603e-006	-7.195682e+000
2.297111983567607e-006	-7.159153e+000
2.298911983567610e-006	-7.122498e+000
2.300711983567614e-006	-7.085717e+000
2.302197697853332e-006	-7.055328e+000
2.303683412139049e-006	-7.024930e+000
2.305169126424767e-006	-6.994523e+000
2.306654840710484e-006	-6.964109e+000
2.308140554996202e-006	-6.933686e+000
2.309626269281919e-006	-6.903254e+000
2.311111983567637e-006	-6.872814e+000
2.312169126424783e-006	-6.851177e+000
2.313226269281927e-006	-6.829558e+000
2.314283412139073e-006	-6.807958e+000
2.315340554996218e-006	-6.786376e+000
2.316397697853363e-006	-6.764813e+000
2.317454840710508e-006	-6.743269e+000
2.318511983567653e-006	-6.721743e+000
2.319597697853370e-006	-6.699664e+000
2.320683412139087e-006	-6.677617e+000
2.321769126424804e-006	-6.655602e+000
2.322854840710520e-006	-6.633618e+000
2.323940554996237e-006	-6.611667e+000
2.325026269281953e-006	-6.589747e+000
2.326111983567670e-006	-6.567859e+000
2.327054840710529e-006	-6.548882e+000
2.327997697853389e-006	-6.529932e+000
2.328940554996248e-006	-6.511011e+000
2.329883412139107e-006	-6.492117e+000
2.330826269281966e-006	-6.473250e+000
2.331769126424825e-006	-6.454412e+000
2.332711983567685e-006	-6.435601e+000
2.333569126424829e-006	-6.418525e+000
2.334426269281974e-006	-6.401472e+000
2.335283412139119e-006	-6.384441e+000
2.336140554996264e-006	-6.367433e+000
2.336997697853408e-006	-6.350447e+000
2.337854840710553e-006	-6.333484e+000
2.338711983567698e-006	-6.316543e+000
2.339111983567699e-006	-6.308644e+000
2.341111983567703e-006	-6.269238e+000
2.343111983567707e-006	-6.229926e+000
2.345111983567712e-006	-6.190706e+000
2.347111983567716e-006	-6.151580e+000
2.349111983567721e-006	-6.112547e+000
2.351111983567725e-006	-6.073607e+000
2.353111983567729e-006	-6.034760e+000
2.355740554996307e-006	-5.983825e+000
2.358369126424884e-006	-5.932931e+000
2.360997697853461e-006	-5.882079e+000
2.363626269282038e-006	-5.831268e+000
2.366254840710615e-006	-5.780498e+000
2.368883412139192e-006	-5.729770e+000
2.371511983567770e-006	-5.679084e+000
2.373854840710632e-006	-5.633866e+000
2.376197697853494e-006	-5.588602e+000
2.378540554996357e-006	-5.543292e+000
2.380883412139219e-006	-5.497937e+000
2.383226269282081e-006	-5.452535e+000
2.385569126424943e-006	-5.407087e+000
2.387911983567806e-006	-5.361594e+000
2.389483412139238e-006	-5.331034e+000
2.391054840710670e-006	-5.300445e+000
2.392626269282101e-006	-5.269825e+000
2.394197697853534e-006	-5.239174e+000
2.395769126424966e-006	-5.208494e+000
2.397340554996398e-006	-5.177783e+000
2.398911983567830e-006	-5.147042e+000
2.399111983567830e-006	-5.143127e+000
2.402654840710695e-006	-5.073669e+000
2.406197697853560e-006	-5.004102e+000
2.409740554996425e-006	-4.934426e+000
2.413283412139290e-006	-4.864641e+000
2.416826269282155e-006	-4.794748e+000
2.420369126425020e-006	-4.724745e+000
2.423911983567885e-006	-4.654634e+000
2.426626269282176e-006	-4.600899e+000
2.429340554996468e-006	-4.547155e+000
2.432054840710759e-006	-4.493404e+000
2.434769126425051e-006	-4.439646e+000
2.437483412139343e-006	-4.385880e+000
2.440197697853635e-006	-4.332106e+000
2.442911983567926e-006	-4.278325e+000
2.445197697853646e-006	-4.233053e+000
2.447483412139365e-006	-4.187792e+000
2.449769126425084e-006	-4.142545e+000
2.452054840710803e-006	-4.097309e+000
2.454340554996523e-006	-4.052086e+000
2.456626269282242e-006	-4.006876e+000
2.458911983567961e-006	-3.961678e+000
2.459111983567962e-006	-3.957724e+000
2.462940554996542e-006	-3.882067e+000
2.466769126425122e-006	-3.806439e+000
2.470597697853701e-006	-3.730837e+000
2.474426269282281e-006	-3.655263e+000
2.478254840710861e-006	-3.579717e+000
2.482083412139441e-006	-3.504198e+000
2.485911983568021e-006	-3.428707e+000
2.488054840710882e-006	-3.386452e+000
2.490197697853744e-006	-3.344194e+000
