time	V(n002)-5.4261mV
2.225929999997114e-003	2.797483e-001
2.231929999997079e-003	2.811561e-001
2.237929999997043e-003	2.821645e-001
2.243929999997008e-003	2.827718e-001
2.249929999996972e-003	2.829774e-001
2.255929999996936e-003	2.827808e-001
2.261929999996901e-003	2.821823e-001
2.267929999996865e-003	2.811829e-001
2.273929999996829e-003	2.797838e-001
2.279929999996794e-003	2.779872e-001
2.285929999996758e-003	2.757955e-001
2.291929999996722e-003	2.732119e-001
2.297929999996687e-003	2.702401e-001
2.303929999996651e-003	2.668842e-001
2.309929999996616e-003	2.631491e-001
2.315929999996580e-003	2.590400e-001
2.321929999996544e-003	2.545628e-001
2.327929999996509e-003	2.497239e-001
2.333929999996473e-003	2.445301e-001
2.339929999996437e-003	2.389888e-001
2.345929999996402e-003	2.331078e-001
2.351929999996366e-003	2.268957e-001
2.357929999996331e-003	2.203610e-001
2.363929999996295e-003	2.135132e-001
2.369929999996259e-003	2.063620e-001
2.375929999996224e-003	1.989176e-001
2.381929999996188e-003	1.911905e-001
2.387929999996152e-003	1.831917e-001
2.393929999996117e-003	1.749325e-001
2.399929999996081e-003	1.664248e-001
2.405929999996045e-003	1.576805e-001
2.411929999996010e-003	1.487122e-001
2.417929999995974e-003	1.395326e-001
2.423929999995939e-003	1.301546e-001
2.429929999995903e-003	1.205917e-001
2.435929999995867e-003	1.108575e-001
2.436784285710148e-003	1.094583e-001
2.437638571424428e-003	1.080560e-001
2.438492857138709e-003	1.066507e-001
2.439347142852990e-003	1.052423e-001
2.440201428567271e-003	1.038309e-001
2.441055714281551e-003	1.024164e-001
2.441909999995832e-003	1.009989e-001
2.441929999995832e-003	1.009657e-001
2.447929999995796e-003	9.093038e-002
2.453929999995760e-003	8.076587e-002
2.459929999995725e-003	7.048658e-002
2.465929999995689e-003	6.010714e-002
2.471929999995653e-003	4.964226e-002
2.477929999995618e-003	3.910684e-002
2.483929999995582e-003	2.851585e-002
2.489929999995547e-003	1.788433e-002
2.495929999995511e-003	7.227401e-003
2.501929999995475e-003	-3.439819e-003
2.502421428566901e-003	-4.313524e-003
2.502912857138326e-003	-5.187167e-003
2.503404285709752e-003	-6.060749e-003
2.503895714281178e-003	-6.934268e-003
2.504387142852604e-003	-7.807726e-003
2.504878571424029e-003	-8.681122e-003
2.505369999995455e-003	-9.554456e-003
2.507929999995440e-003	-1.410215e-002
2.513929999995404e-003	-2.474444e-002
2.519929999995368e-003	-3.535157e-002
2.525929999995333e-003	-4.590847e-002
2.531929999995297e-003	-5.640013e-002
2.537929999995262e-003	-6.681165e-002
2.543929999995226e-003	-7.712822e-002
2.549929999995190e-003	-8.733521e-002
2.550784285709471e-003	-8.877883e-002
2.551638571423751e-003	-9.021979e-002
2.552492857138032e-003	-9.165809e-002
2.553347142852313e-003	-9.309373e-002
2.554201428566594e-003	-9.452671e-002
2.555055714280874e-003	-9.595703e-002
2.555909999995155e-003	-9.738469e-002
2.555929999995155e-003	-9.741808e-002
2.561929999995119e-003	-1.073625e-001
2.567929999995083e-003	-1.171544e-001
2.568784285709364e-003	-1.185355e-001
2.569638571423645e-003	-1.199130e-001
2.570492857137925e-003	-1.212870e-001
2.571347142852206e-003	-1.226575e-001
2.572201428566487e-003	-1.240245e-001
2.573055714280767e-003	-1.253880e-001
2.573909999995048e-003	-1.267480e-001
2.573929999995048e-003	-1.267798e-001
