Freq.	V(ampli:n003)	V(ampli:n010)
1.00426764530785e+001	(3.05641243642975e+001dB,-1.66660257018058e+002°)	(3.24890275853488e+001dB,-1.66613169920071e+002°)
1.03968306733599e+001	(3.05794686063438e+001dB,-1.67115765891096e+002°)	(3.25043718674513e+001dB,-1.67067020517130e+002°)
1.07634741152477e+001	(3.05938337125887e+001dB,-1.67557778175331e+002°)	(3.25187370166296e+001dB,-1.67507315969898e+002°)
1.11430472101905e+001	(3.06072791461943e+001dB,-1.67986639892604e+002°)	(3.25321824962387e+001dB,-1.67934400237869e+002°)
1.15360059214187e+001	(3.06198611189751e+001dB,-1.68402697919833e+002°)	(3.25447645183237e+001dB,-1.68348618062799e+002°)
1.19428222916713e+001	(3.06316327229485e+001dB,-1.68806299000515e+002°)	(3.25565361751457e+001dB,-1.68750313977638e+002°)
1.23639850102382e+001	(3.06426440626887e+001dB,-1.69197788860631e+002°)	(3.25675475715209e+001dB,-1.69139831419789e+002°)
1.28000000000001e+001	(3.06529423872503e+001dB,-1.69577511421297e+002°)	(3.25778459567808e+001dB,-1.69517511941002e+002°)
1.32513910251698e+001	(3.06625722209894e+001dB,-1.69945808102700e+002°)	(3.25874758555851e+001dB,-1.69883694508459e+002°)
1.37187003204647e+001	(3.06715754925589e+001dB,-1.70303017212866e+002°)	(3.25964791968884e+001dB,-1.70238714890610e+002°)
1.42024892424686e+001	(3.06799916611931e+001dB,-1.70649473413815e+002°)	(3.26048954402649e+001dB,-1.70582905120247e+002°)
1.47033389439622e+001	(3.06878578404588e+001dB,-1.70985507261981e+002°)	(3.26127616996269e+001dB,-1.70916593031846e+002°)
1.52218510720350e+001	(3.06952089177708e+001dB,-1.71311444811664e+002°)	(3.26201128627895e+001dB,-1.71240101861630e+002°)
1.57586484908151e+001	(3.07020776710321e+001dB,-1.71627607282992e+002°)	(3.26269817080532e+001dB,-1.71553749912235e+002°)
1.63143760296867e+001	(3.07084948808281e+001dB,-1.71934310783633e+002°)	(3.26333990164644e+001dB,-1.71857850270881e+002°)
1.68897012578932e+001	(3.07144894386259e+001dB,-1.72231866081905e+002°)	(3.26393936799506e+001dB,-1.72152710578868e+002°)
1.74853152864565e+001	(3.07200884507000e+001dB,-1.72520578425996e+002°)	(3.26449928053026e+001dB,-1.72438632847034e+002°)
1.81019335983758e+001	(3.07253173377099e+001dB,-1.72800747404982e+002°)	(3.26502218137210e+001dB,-1.72715913312882e+002°)
1.87402969081042e+001	(3.07301999299796e+001dB,-1.73072666847830e+002°)	(3.26551045361130e+001dB,-1.72984842335559e+002°)
1.94011720513333e+001	(3.07347585584205e+001dB,-1.73336624756424e+002°)	(3.26596633040135e+001dB,-1.73245704324724e+002°)
2.00853529061570e+001	(3.07390141410871e+001dB,-1.73592903269078e+002°)	(3.26639190361559e+001dB,-1.73498777699716e+002°)
2.07936613467199e+001	(3.07429862656633e+001dB,-1.73841778651899e+002°)	(3.26678913209277e+001dB,-1.73744334876489e+002°)
2.15269482304953e+001	(3.07466932676736e+001dB,-1.74083521314342e+002°)	(3.26715984946534e+001dB,-1.73982642278524e+002°)
2.22860944203810e+001	(3.07501523046000e+001dB,-1.74318395846580e+002°)	(3.26750577156145e+001dB,-1.74213960369368e+002°)
2.30720118428375e+001	(3.07533794264788e+001dB,-1.74546661076945e+002°)	(3.26782850347271e+001dB,-1.74438543705260e+002°)
2.38856445833426e+001	(3.07563896419458e+001dB,-1.74768570145222e+002°)	(3.26812954615793e+001dB,-1.74656641003103e+002°)
2.47279700204763e+001	(3.07591969813483e+001dB,-1.74984370592378e+002°)	(3.26841030275478e+001dB,-1.74868495225003e+002°)
2.56000000000003e+001	(3.07618145558025e+001dB,-1.75194304462740e+002°)	(3.26867208448471e+001dB,-1.75074343674845e+002°)
2.65027820503396e+001	(3.07642546136508e+001dB,-1.75398608418630e+002°)	(3.26891611629481e+001dB,-1.75274418107500e+002°)
2.74374006409294e+001	(3.07665285969796e+001dB,-1.75597513863667e+002°)	(3.26914354205026e+001dB,-1.75468944845829e+002°)
2.84049784849372e+001	(3.07686471729591e+001dB,-1.75791247076353e+002°)	(3.26935542954325e+001dB,-1.75658144908506e+002°)
2.94066778879245e+001	(3.07706203083432e+001dB,-1.75980029350171e+002°)	(3.26955277512282e+001dB,-1.75842234143594e+002°)
3.04437021440700e+001	(3.07724572944368e+001dB,-1.76164077140589e+002°)	(3.26973650807479e+001dB,-1.76021423369063e+002°)
3.15172969816302e+001	(3.07741667930797e+001dB,-1.76343602217335e+002°)	(3.26990749474505e+001dB,-1.76195918518430e+002°)
3.26287520593735e+001	(3.07757568746946e+001dB,-1.76518811821268e+002°)	(3.27006654235471e+001dB,-1.76365920790383e+002°)
3.37794025157865e+001	(3.07772350545063e+001dB,-1.76689908825190e+002°)	(3.27021440261681e+001dB,-1.76531626802424e+002°)
