Freq.	V(n001)/1A
6.55360000000016e+003	(-3.88856136528345e+001dB,1.69361031812062e+001°)
6.78471220488701e+003	(-3.88586823834158e+001dB,1.74963129141267e+001°)
7.02397456407802e+003	(-3.88300005519344e+001dB,1.80725675823064e+001°)
7.27167449214400e+003	(-3.87994668902134e+001dB,1.86650790993602e+001°)
7.52810953930875e+003	(-3.87669759296011e+001dB,1.92740370357095e+001°)
7.79358774888202e+003	(-3.87324180315345e+001dB,1.98996059110441e+001°)
8.06842802729744e+003	(-3.86956794777519e+001dB,2.05419224337240e+001°)
8.35296052719972e+003	(-3.86566425602765e+001dB,2.12010925562915e+001°)
8.64752704404145e+003	(-3.86151857509377e+001dB,2.18771885367735e+001°)
8.95248142666582e+003	(-3.85711838998843e+001dB,2.25702459228013e+001°)
9.26819000236854e+003	(-3.85245084678699e+001dB,2.32802604535181e+001°)
9.59503201694948e+003	(-3.84750278394845e+001dB,2.40071850601624e+001°)
9.93340009028279e+003	(-3.84226076542612e+001dB,2.47509267994131e+001°)
1.02837006879525e+004	(-3.83671112228926e+001dB,2.55113439511351e+001°)
1.06463546095207e+004	(-3.83083999891314e+001dB,2.62882432144800e+001°)
1.10217974940138e+004	(-3.82463340286025e+001dB,2.70813770021157e+001°)
1.14104803432352e+004	(-3.81807726573650e+001dB,2.78904411348595e+001°)
1.18128700635330e+004	(-3.81115750232605e+001dB,2.87150725637356e+001°)
1.22294500266715e+004	(-3.80386008154121e+001dB,2.95548476492362e+001°)
1.26607206504840e+004	(-3.79617109890341e+001dB,3.04092807084071e+001°)
1.31072000000003e+004	(-3.78807685351132e+001dB,3.12778230008077e+001°)
1.35694244097740e+004	(-3.77956393045452e+001dB,3.21598622774489e+001°)
1.40479491281561e+004	(-3.77061928319620e+001dB,3.30547227446519e+001°)
1.45433489842880e+004	(-3.76123032184730e+001dB,3.39616657664933e+001°)
1.50562190786175e+004	(-3.75138499886453e+001dB,3.48798910416456e+001°)
1.55871754977641e+004	(-3.74107189642489e+001dB,3.58085384916759e+001°)
1.61368560545949e+004	(-3.73028031168306e+001dB,3.67466907810663e+001°)
